Business Term,Technical Column,Description,Domain,Synonyms,Data Type,Owner,Mandatory,Allowed Values
Customer ID,customer_id,Unique identifier for a customer account,Customer,"Client ID, Account ID",STRING,Data Governance,Yes,
Customer Name,customer_name,Full legal name of the customer,Customer,"Client Name, Account Name",STRING,Data Governance,Yes,
Customer Email,email,Primary email address used for customer communication,Customer,"Email Address, Contact Email",STRING,Data Governance,Yes,
Customer Phone,phone_number,Primary contact phone number of the customer,Customer,"Phone, Mobile, Contact Number",STRING,Data Governance,No,
Customer Status,status,Current lifecycle status of the customer account,Customer,"Account Status, Client Status",STRING,Data Governance,Yes,"ACTIVE, INACTIVE, SUSPENDED, CLOSED"
Customer Segment,segment,Business tier classification of the customer,Customer,"Tier, Account Tier",STRING,CRM,No,"ENTERPRISE, BUSINESS, SMB, CONSUMER"
Customer Registration Date,registration_date,Date when the customer account was first created,Customer,"Sign-up Date, Onboarding Date",DATE,Data Governance,Yes,
Customer Country,country_code,ISO 3166-1 alpha-2 country code of the customer,Customer,"Country, Country ISO",STRING,Data Governance,No,
Order ID,order_id,Unique identifier for a customer order,Orders,"Transaction ID, Order Number",STRING,Finance,Yes,
Order Date,order_date,Date when the order was placed by the customer,Orders,"Transaction Date, Purchase Date",DATE,Finance,Yes,
Order Amount,order_amount,Total monetary value of the order before taxes and discounts,Orders,"Order Value, Total Amount, Purchase Amount",DECIMAL,Finance,Yes,
Order Status,order_status,Current fulfillment status of the order,Orders,"Fulfillment Status, Shipment Status",STRING,Operations,Yes,"PENDING, CONFIRMED, SHIPPED, DELIVERED, CANCELLED, REFUNDED"
Shipping Date,shipping_date,Date when the order was dispatched from the warehouse,Orders,"Dispatch Date, Ship Date",DATE,Operations,No,
Delivery Date,delivery_date,Date when the order was delivered to the customer,Orders,"Arrival Date, Receipt Date",DATE,Operations,No,
Discount Amount,discount_amount,Monetary discount applied to the order,Orders,"Rebate, Promotion Discount",DECIMAL,Finance,No,
Product ID,product_id,Unique identifier for a product in the catalog,Product,"Item ID, SKU",STRING,Product Management,Yes,
Product Name,product_name,Human-readable name of the product,Product,"Item Name, Article Name",STRING,Product Management,Yes,
