id,customer_id,product_id,amount,ordered_at,shipped_at
o-0001,11111111-1111-4111-8111-000000000001,p-001,49.99,2026-02-01T09:00:00Z,2026-02-02T10:00:00Z
o-0002,11111111-1111-4111-8111-000000000002,p-003,120.00,2026-02-01T11:30:00Z,2026-02-03T08:00:00Z
o-0003,11111111-1111-4111-8111-000000000003,p-002,15.50,2026-02-02T13:00:00Z,2026-02-04T09:30:00Z
o-0004,11111111-1111-4111-8111-000000000004,p-001,49.99,2026-02-02T15:30:00Z,2026-02-05T11:15:00Z
o-0005,11111111-1111-4111-8111-000000000005,p-004,250.00,2026-02-03T08:45:00Z,2026-02-06T14:00:00Z
o-0006,11111111-1111-4111-8111-000000000006,p-005,75.00,2026-02-03T17:20:00Z,2026-02-07T10:30:00Z
o-0007,11111111-1111-4111-8111-000000000007,p-002,15.50,2026-02-04T09:10:00Z,2026-02-04T08:00:00Z
o-0008,11111111-1111-4111-8111-000000000008,p-003,120.00,2026-02-04T12:00:00Z,2026-02-08T13:00:00Z
o-0009,11111111-1111-4111-8111-000000000009,p-001,49.99,2026-02-05T14:30:00Z,2026-02-09T15:30:00Z
o-0010,11111111-1111-4111-8111-000000000010,p-006,18.00,2026-02-05T16:45:00Z,2026-02-10T09:00:00Z
o-0011,11111111-1111-4111-8111-000000000011,p-007,9.99,2026-02-06T08:00:00Z,2026-02-11T11:00:00Z
o-0012,11111111-1111-4111-8111-000000000012,p-002,15.50,2026-02-06T13:30:00Z,2026-02-12T14:00:00Z
o-0013,11111111-1111-4111-8111-000000000013,p-004,250.00,2026-02-07T15:00:00Z,2026-02-13T10:00:00Z
o-0014,11111111-1111-4111-8111-000000000014,p-001,-49.99,2026-02-07T17:30:00Z,2026-02-14T09:30:00Z
o-0015,11111111-1111-4111-8111-000000000015,p-005,75.00,2026-02-08T09:45:00Z,2026-02-15T13:00:00Z
o-0016,11111111-1111-4111-8111-000000000016,p-003,120.00,2026-02-08T12:15:00Z,2026-02-16T11:45:00Z
o-0017,11111111-1111-4111-8111-000000000017,p-008,32.00,2026-02-09T14:00:00Z,2026-02-17T08:00:00Z
o-0018,11111111-1111-4111-8111-000000000018,p-002,15.50,2026-02-09T16:30:00Z,2026-02-09T15:00:00Z
o-0019,11111111-1111-4111-8111-000000000019,p-001,49.99,2026-02-10T09:00:00Z,2026-02-18T14:30:00Z
o-0020,11111111-1111-4111-8111-000000000020,p-004,250.00,2026-02-10T11:30:00Z,2026-02-19T10:00:00Z
o-0021,11111111-1111-4111-8111-000000000021,p-006,18.00,2026-02-11T13:45:00Z,2026-02-20T11:30:00Z
o-0022,11111111-1111-4111-8111-000000000022,p-003,120.00,2026-02-11T15:30:00Z,2026-02-21T09:15:00Z
o-0023,11111111-1111-4111-8111-000000000023,p-001,49.99,2026-02-12T08:30:00Z,2026-02-22T14:00:00Z
o-0024,11111111-1111-4111-8111-000000000024,p-007,9.99,2026-02-12T11:00:00Z,2026-02-23T10:30:00Z
o-0025,11111111-1111-4111-8111-000000000025,p-005,75.00,2026-02-13T13:30:00Z,2026-02-24T15:00:00Z
o-0026,11111111-1111-4111-8111-000000000026,p-002,15.50,2026-02-13T16:00:00Z,2026-02-25T11:00:00Z
o-0027,11111111-1111-4111-8111-000000000027,p-008,32.00,2026-02-14T08:45:00Z,2026-02-26T09:30:00Z
o-0028,11111111-1111-4111-8111-000000000028,p-001,49.99,2026-02-14T10:30:00Z,2026-02-27T14:30:00Z
o-0029,11111111-1111-4111-8111-000000000029,p-004,-250.00,2026-02-15T13:00:00Z,2026-02-28T08:30:00Z
o-0030,11111111-1111-4111-8111-000000000001,p-003,120.00,2026-02-15T15:30:00Z,2026-03-01T11:00:00Z
o-0031,11111111-1111-4111-8111-000000000002,p-006,18.00,2026-02-16T09:00:00Z,2026-03-02T13:30:00Z
o-0032,11111111-1111-4111-8111-000000000003,p-002,15.50,2026-02-16T11:30:00Z,2026-03-03T10:00:00Z
o-0033,11111111-1111-4111-8111-000000000004,p-005,75.00,2026-02-17T13:00:00Z,2026-03-04T15:00:00Z
o-0034,11111111-1111-4111-8111-000000000005,p-007,9.99,2026-02-17T15:30:00Z,2026-03-05T11:30:00Z
o-0035,11111111-1111-4111-8111-000000000006,p-001,49.99,2026-02-18T08:30:00Z,2026-03-06T09:00:00Z
o-0036,11111111-1111-4111-8111-000000000007,p-008,32.00,2026-02-18T11:00:00Z,2026-03-07T14:00:00Z
o-0037,11111111-1111-4111-8111-000000000008,p-003,120.00,2026-02-19T13:30:00Z,2026-03-08T10:30:00Z
o-0038,11111111-1111-4111-8111-000000000009,p-002,15.50,2026-02-19T16:00:00Z,2026-03-09T15:30:00Z
o-0039,11111111-1111-4111-8111-000000000010,p-004,250.00,2026-02-20T08:45:00Z,2026-03-10T11:00:00Z
o-0040,11111111-1111-4111-8111-000000000011,p-006,18.00,2026-02-20T10:30:00Z,2026-03-11T13:00:00Z
