transaction_id,customer_id,order_id,amount,paid_at,method
pay-00001,11111111-1111-4111-8111-000000000001,o-0001,49.99,2026-02-02T08:30:00Z,card
pay-00002,11111111-1111-4111-8111-000000000002,o-0002,120.00,2026-02-03T07:30:00Z,card
pay-00003,11111111-1111-4111-8111-000000000003,o-0003,15.50,2026-02-04T09:00:00Z,paypal
pay-00004,11111111-1111-4111-8111-000000000004,o-0004,49.99,2026-02-05T10:45:00Z,card
pay-00005,11111111-1111-4111-8111-000000000005,o-0005,250.00,2026-02-06T13:30:00Z,bank
pay-00006,11111111-1111-4111-8111-000000000006,o-0006,75.00,2026-02-07T10:00:00Z,card
pay-00007,11111111-1111-4111-8111-000000000007,o-0007,15.50,2026-02-04T07:30:00Z,paypal
pay-00008,11111111-1111-4111-8111-000000000008,o-0008,120.00,2026-02-08T12:30:00Z,card
pay-00009,11111111-1111-4111-8111-000000000009,o-0009,49.99,2026-02-09T15:00:00Z,card
pay-00010,,o-0010,18.00,2026-02-10T08:30:00Z,card
pay-00011,11111111-1111-4111-8111-000000000011,o-0011,9.99,2026-02-11T10:30:00Z,card
pay-00012,11111111-1111-4111-8111-000000000012,o-0012,15.50,2026-02-12T13:30:00Z,paypal
pay-00013,11111111-1111-4111-8111-000000000013,o-0013,250.00,2026-02-13T09:30:00Z,bank
pay-00014,11111111-1111-4111-8111-000000000014,o-0014,49.99,2026-02-14T09:00:00Z,card
pay-00015,11111111-1111-4111-8111-000000000015,o-0015,-75.00,2026-02-15T12:30:00Z,card
pay-00016,11111111-1111-4111-8111-000000000016,o-0016,120.00,2026-02-16T11:15:00Z,card
pay-00017,11111111-1111-4111-8111-000000000017,o-0017,32.00,2026-02-17T07:30:00Z,card
pay-00018,11111111-1111-4111-8111-000000000018,o-0018,15.50,2026-02-09T14:30:00Z,paypal
pay-00019,11111111-1111-4111-8111-000000000019,o-0019,49.99,2026-02-18T14:00:00Z,card
pay-00020,11111111-1111-4111-8111-000000000020,o-0020,250.00,2026-02-19T09:30:00Z,bank
pay-00021,,o-0021,18.00,2026-02-20T11:00:00Z,card
pay-00022,11111111-1111-4111-8111-000000000022,o-0022,120.00,2026-02-21T08:45:00Z,card
pay-00023,11111111-1111-4111-8111-000000000023,o-0023,49.99,2026-02-22T13:30:00Z,card
pay-00024,11111111-1111-4111-8111-000000000024,o-0024,9.99,2026-02-23T10:00:00Z,card
pay-00025,11111111-1111-4111-8111-000000000025,o-0025,75.00,2026-02-24T14:30:00Z,card
pay-00026,11111111-1111-4111-8111-000000000026,o-0026,15.50,2026-02-25T10:30:00Z,paypal
pay-00027,11111111-1111-4111-8111-000000000027,o-0027,32.00,2026-02-26T09:00:00Z,card
pay-00028,11111111-1111-4111-8111-000000000028,o-0028,49.99,2026-02-27T14:00:00Z,card
pay-00001,11111111-1111-4111-8111-000000000029,o-0029,250.00,2026-02-28T08:00:00Z,bank
pay-00030,11111111-1111-4111-8111-000000000001,o-0030,120.00,2026-03-01T10:30:00Z,card
