order_id,customer_id,product_id,quantity,total_amount,status,ordered_at
1,21,8,5,140.2,paid,2025-05-02T00:00:00+00:00
2,27,22,3,887.16,paid,2026-02-18T00:00:00+00:00
3,7,24,1,24.84,paid,2025-08-24T00:00:00+00:00
4,12,14,6,1680.84,shipped,2025-11-01T00:00:00+00:00
5,2,5,1,444.87,pending,2025-09-30T00:00:00+00:00
6,26,28,4,307.56,cancelled,2025-09-28T00:00:00+00:00
7,24,21,3,263.88,paid,2025-03-06T00:00:00+00:00
8,7,25,4,646.52,cancelled,2025-11-30T00:00:00+00:00
9,4,3,6,290.76,pending,2025-10-09T00:00:00+00:00
10,27,13,6,428.1,cancelled,2026-01-31T00:00:00+00:00
11,48,3,2,96.92,shipped,2025-10-01T00:00:00+00:00
12,44,27,2,266.94,paid,2025-05-12T00:00:00+00:00
13,5,8,2,56.08,shipped,2026-01-14T00:00:00+00:00
14,19,30,6,2358.78,paid,2025-06-07T00:00:00+00:00
15,41,5,2,889.74,shipped,2025-01-22T00:00:00+00:00
16,14,17,2,432.8,shipped,2025-12-02T00:00:00+00:00
17,50,24,5,124.2,paid,2025-10-21T00:00:00+00:00
18,9,8,2,56.08,shipped,2025-01-19T00:00:00+00:00
19,27,13,6,428.1,cancelled,2025-11-14T00:00:00+00:00
20,34,15,5,1379.35,pending,2025-03-10T00:00:00+00:00
21,3,26,4,1286.76,pending,2025-06-10T00:00:00+00:00
22,16,7,4,1457.48,paid,2025-11-03T00:00:00+00:00
23,48,29,5,1660.65,paid,2025-10-09T00:00:00+00:00
24,27,21,4,351.84,paid,2025-09-13T00:00:00+00:00
25,10,12,5,399.05,pending,2025-08-21T00:00:00+00:00
26,4,23,5,2190.9,paid,2025-06-16T00:00:00+00:00
27,43,2,3,1088.04,pending,2025-01-05T00:00:00+00:00
28,47,6,6,268.2,pending,2025-10-05T00:00:00+00:00
29,42,25,3,484.89,shipped,2025-02-22T00:00:00+00:00
30,40,16,2,807.54,cancelled,2025-06-03T00:00:00+00:00
31,1,1,6,797.88,pending,2026-01-21T00:00:00+00:00
32,19,18,2,442.54,shipped,2026-02-11T00:00:00+00:00
33,49,15,4,1103.48,shipped,2026-01-26T00:00:00+00:00
34,47,14,4,1120.56,pending,2025-11-22T00:00:00+00:00
35,14,25,1,161.63,pending,2025-08-20T00:00:00+00:00
36,43,23,2,876.36,cancelled,2025-08-02T00:00:00+00:00
37,46,4,5,462.15,pending,2025-01-07T00:00:00+00:00
38,18,1,4,531.92,paid,2025-01-15T00:00:00+00:00
39,47,29,1,332.13,shipped,2025-11-25T00:00:00+00:00
40,11,16,4,1615.08,shipped,2025-03-25T00:00:00+00:00
41,13,27,1,133.47,pending,2025-10-25T00:00:00+00:00
42,48,21,3,263.88,cancelled,2025-12-17T00:00:00+00:00
43,37,25,2,323.26,paid,2026-02-03T00:00:00+00:00
44,44,22,5,1478.6,paid,2025-06-26T00:00:00+00:00
45,10,6,6,268.2,pending,2025-08-22T00:00:00+00:00
46,12,8,5,140.2,pending,2025-04-08T00:00:00+00:00
47,2,11,6,2710.98,paid,2025-09-18T00:00:00+00:00
48,33,12,3,239.43,paid,2025-01-17T00:00:00+00:00
49,34,2,2,725.36,pending,2026-03-04T00:00:00+00:00
50,9,27,1,133.47,shipped,2025-01-12T00:00:00+00:00
51,12,26,4,1286.76,pending,2025-10-04T00:00:00+00:00
52,12,30,5,1965.65,shipped,2025-11-09T00:00:00+00:00
53,25,9,2,137.54,shipped,2025-10-05T00:00:00+00:00
54,7,17,3,649.2,shipped,2025-06-18T00:00:00+00:00
55,24,20,5,1322.9,paid,2025-05-22T00:00:00+00:00
56,29,5,1,444.87,paid,2025-07-21T00:00:00+00:00
57,6,25,2,323.26,shipped,2025-03-08T00:00:00+00:00
58,5,22,3,887.16,cancelled,2025-12-25T00:00:00+00:00
59,27,20,3,793.74,paid,2026-03-06T00:00:00+00:00
60,1,6,1,44.7,cancelled,2025-12-13T00:00:00+00:00
61,7,25,2,323.26,paid,2025-10-21T00:00:00+00:00
62,25,7,4,1457.48,paid,2025-03-09T00:00:00+00:00
63,22,24,3,74.52,pending,2025-04-18T00:00:00+00:00
64,32,11,6,2710.98,paid,2025-07-07T00:00:00+00:00
65,30,19,1,213.17,pending,2026-01-15T00:00:00+00:00
66,32,16,1,403.77,shipped,2025-08-20T00:00:00+00:00
67,20,9,3,206.31,shipped,2025-10-30T00:00:00+00:00
68,38,15,2,551.74,shipped,2026-01-15T00:00:00+00:00
69,32,1,5,664.9,shipped,2025-11-27T00:00:00+00:00
70,13,9,4,275.08,pending,2025-09-25T00:00:00+00:00
71,41,28,6,461.34,pending,2026-01-26T00:00:00+00:00
72,22,12,2,159.62,pending,2026-02-27T00:00:00+00:00
73,28,16,2,807.54,cancelled,2025-11-08T00:00:00+00:00
74,17,29,6,1992.78,pending,2025-06-28T00:00:00+00:00
75,35,14,5,1400.7,cancelled,2025-02-14T00:00:00+00:00
76,12,19,5,1065.85,shipped,2025-04-09T00:00:00+00:00
77,27,26,6,1930.14,paid,2025-11-17T00:00:00+00:00
78,44,24,1,24.84,paid,2025-04-22T00:00:00+00:00
79,43,6,5,223.5,pending,2025-02-01T00:00:00+00:00
80,13,15,5,1379.35,cancelled,2025-03-16T00:00:00+00:00
81,4,16,1,403.77,paid,2025-09-07T00:00:00+00:00
82,11,8,4,112.16,pending,2025-03-24T00:00:00+00:00
83,8,23,2,876.36,cancelled,2025-09-12T00:00:00+00:00
84,16,4,2,184.86,shipped,2025-07-13T00:00:00+00:00
85,38,17,2,432.8,shipped,2025-02-06T00:00:00+00:00
86,38,4,6,554.58,cancelled,2025-08-31T00:00:00+00:00
87,21,25,5,808.15,pending,2025-10-10T00:00:00+00:00
88,41,30,3,1179.39,shipped,2025-06-30T00:00:00+00:00
89,34,29,1,332.13,cancelled,2025-07-13T00:00:00+00:00
90,1,10,6,1000.14,paid,2025-01-12T00:00:00+00:00
91,39,27,3,400.41,paid,2026-02-19T00:00:00+00:00
92,48,13,5,356.75,pending,2026-01-09T00:00:00+00:00
93,9,23,6,2629.08,paid,2025-08-11T00:00:00+00:00
94,26,2,5,1813.4,pending,2026-01-01T00:00:00+00:00
95,29,28,2,153.78,shipped,2025-09-03T00:00:00+00:00
96,5,6,3,134.1,paid,2025-02-26T00:00:00+00:00
97,1,25,3,484.89,cancelled,2025-11-20T00:00:00+00:00
98,11,1,1,132.98,paid,2025-06-08T00:00:00+00:00
99,42,15,2,551.74,cancelled,2026-01-04T00:00:00+00:00
100,37,3,5,242.3,cancelled,2025-10-24T00:00:00+00:00
101,18,4,3,277.29,cancelled,2025-08-11T00:00:00+00:00
102,21,2,6,2176.08,paid,2025-11-27T00:00:00+00:00
103,6,23,5,2190.9,paid,2025-07-14T00:00:00+00:00
