product_id,sku,name,category,unit_price,in_stock
1,SKU-0001,Product 001,outdoor,132.98,12
2,SKU-0002,Product 002,apparel,362.68,8
3,SKU-0003,Product 003,books,48.46,143
4,SKU-0004,Product 004,outdoor,92.43,61
5,SKU-0005,Product 005,outdoor,444.87,113
6,SKU-0006,Product 006,apparel,44.7,245
7,SKU-0007,Product 007,home,364.37,187
8,SKU-0008,Product 008,electronics,28.04,152
9,SKU-0009,Product 009,books,68.77,34
10,SKU-0010,Product 010,home,166.69,207
11,SKU-0011,Product 011,apparel,451.83,159
12,SKU-0012,Product 012,outdoor,79.81,89
13,SKU-0013,Product 013,books,71.35,60
14,SKU-0014,Product 014,books,280.14,58
15,SKU-0015,Product 015,apparel,275.87,111
16,SKU-0016,Product 016,outdoor,403.77,199
17,SKU-0017,Product 017,outdoor,216.4,62
18,SKU-0018,Product 018,books,221.27,131
19,SKU-0019,Product 019,electronics,213.17,178
20,SKU-0020,Product 020,outdoor,264.58,1
21,SKU-0021,Product 021,home,87.96,233
22,SKU-0022,Product 022,electronics,295.72,162
23,SKU-0023,Product 023,electronics,438.18,99
24,SKU-0024,Product 024,home,24.84,34
25,SKU-0025,Product 025,electronics,161.63,165
26,SKU-0026,Product 026,electronics,321.69,207
27,SKU-0027,Product 027,books,133.47,136
28,SKU-0028,Product 028,electronics,76.89,2
29,SKU-0029,Product 029,apparel,332.13,138
30,SKU-0030,Product 030,home,393.13,103
