transaction_id,order_id,currency,amount,processor,occurred_at
1,15,USD,867.229578,stripe,2026-03-11T02:42:00+00:00
2,143,EUR,773.737752,paypal,2025-07-15T03:41:00+00:00
3,138,USD,1335.399528,stripe,2026-05-10T07:31:00+00:00
4,114,CHF,2713.473468,paypal,2025-12-01T00:52:00+00:00
5,182,USD,276.599988,stripe,2025-06-30T11:43:00+00:00
6,57,CHF,336.319704,adyen,2025-12-29T03:18:00+00:00
7,159,EUR,781.675152,paypal,2026-01-10T09:17:00+00:00
8,1,USD,145.2472,adyen,2025-06-19T08:13:00+00:00
9,27,GBP,1137.0018,adyen,2025-08-14T20:11:00+00:00
10,169,GBP,169.780392,adyen,2025-12-16T05:47:00+00:00
11,62,GBP,1478.467712,stripe,2026-02-02T13:47:00+00:00
12,157,CHF,495.024201,adyen,2026-01-21T23:50:00+00:00
13,194,GBP,348.993586,adyen,2026-04-29T06:27:00+00:00
14,21,USD,1344.535524,paypal,2025-10-04T08:21:00+00:00
15,58,USD,849.633132,stripe,2026-04-06T13:46:00+00:00
16,154,GBP,486.82956,stripe,2025-10-25T11:59:00+00:00
17,33,CHF,1142.65354,adyen,2025-06-01T15:45:00+00:00
18,118,GBP,1052.6778,paypal,2026-01-06T06:03:00+00:00
19,95,CHF,159.454482,adyen,2026-01-30T13:00:00+00:00
20,100,GBP,239.1501,paypal,2025-07-14T02:33:00+00:00
21,155,GBP,818.232912,adyen,2025-06-23T01:26:00+00:00
22,45,EUR,278.928,adyen,2025-10-28T02:46:00+00:00
23,93,GBP,2726.093052,stripe,2026-04-29T17:30:00+00:00
24,79,GBP,233.2893,adyen,2025-10-26T19:34:00+00:00
25,82,CHF,114.952784,adyen,2026-03-06T18:56:00+00:00
26,174,EUR,1811.476836,paypal,2026-03-22T17:33:00+00:00
27,121,USD,455.181384,adyen,2026-02-07T17:03:00+00:00
28,11,EUR,98.557948,adyen,2025-08-01T08:46:00+00:00
29,181,CHF,605.811992,paypal,2026-05-22T10:41:00+00:00
30,99,USD,544.898424,stripe,2026-01-02T23:37:00+00:00
31,183,EUR,648.977406,paypal,2025-12-02T15:29:00+00:00
32,182,CHF,297.73824,stripe,2025-07-30T05:28:00+00:00
33,117,GBP,80.71314,stripe,2026-02-12T14:22:00+00:00
34,94,CHF,1893.37094,paypal,2025-10-22T18:51:00+00:00
35,1,USD,140.63462,adyen,2026-03-04T01:05:00+00:00
36,95,GBP,159.269946,stripe,2026-05-03T14:06:00+00:00
37,149,EUR,1461.998188,paypal,2025-06-11T08:22:00+00:00
38,13,EUR,54.728472,adyen,2026-05-10T03:59:00+00:00
39,36,GBP,859.008072,adyen,2025-11-10T04:45:00+00:00
40,196,CHF,1739.5455,adyen,2026-04-27T02:05:00+00:00
41,42,EUR,264.80358,adyen,2026-05-01T15:48:00+00:00
42,149,EUR,1414.630088,paypal,2026-05-17T05:59:00+00:00
43,141,USD,863.279424,paypal,2025-07-24T11:40:00+00:00
44,120,GBP,1530.05528,stripe,2025-11-02T18:46:00+00:00
45,61,EUR,317.92621,adyen,2025-08-08T02:56:00+00:00
46,181,CHF,589.192528,paypal,2026-04-28T13:54:00+00:00
47,188,CHF,2293.527285,stripe,2025-10-25T11:50:00+00:00
48,191,CHF,286.369524,adyen,2025-10-31T11:06:00+00:00
49,113,EUR,374.646525,adyen,2025-11-04T22:22:00+00:00
50,139,GBP,275.92472,adyen,2025-06-14T07:41:00+00:00
51,4,USD,1730.088612,paypal,2026-02-13T12:30:00+00:00
52,91,CHF,419.469516,paypal,2025-12-16T05:12:00+00:00
53,145,CHF,1618.794684,stripe,2025-11-04T20:52:00+00:00
54,115,GBP,219.08336,adyen,2025-08-04T01:16:00+00:00
55,93,EUR,2554.677036,adyen,2025-10-13T12:53:00+00:00
56,137,EUR,1333.855416,adyen,2025-11-23T18:18:00+00:00
57,78,GBP,25.128144,stripe,2025-11-18T07:22:00+00:00
58,188,USD,2231.46792,paypal,2025-08-26T21:03:00+00:00
